Periodo_Real,Año,Mes,Codigo_Plan_SAP,Programa,Facultad,Gestion,Modalidad_Agrupada,Concluyeron el Plan,Admitidos Matriculados,Nuevos Traslados,Nuevos Convalidados,Permanentes Continuos,Perm. Siempre (0m),Perm. 1mes,Permanentes Incontinuos,Reincorporados (6-12m),Reincorporados (>12m),Riesgo Deserción (1m),Riesgo Deserción (2m),Deserción Temprana (3-6m),Deserción Tardía (7-12m),Deserción Muy Tardía (>12m),Retenidos (1m),Matríc. regular a Distancia,Estudiantes matrí. TOTAL
2014-02,2014,Febrero,O07010902,MAESTRIA EN EDUCACIÓN CON MENCIÓN EN INFORMÁTICA Y TECNOLOGÍA EDUCATIVA,Otros,Sin Partner (Propio),Presencial Regular,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2014-03,2014,Marzo,O07010902,MAESTRIA EN EDUCACIÓN CON MENCIÓN EN INFORMÁTICA Y TECNOLOGÍA EDUCATIVA,Otros,Sin Partner (Propio),Presencial Regular,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1
2014-04,2014,N/A,O07010902,MAESTRIA EN EDUCACIÓN CON MENCIÓN EN INFORMÁTICA Y TECNOLOGÍA EDUCATIVA,Otros,Sin Partner (Propio),Presencial Regular,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2014-05,2014,N/A,O07010902,MAESTRIA EN EDUCACIÓN CON MENCIÓN EN INFORMÁTICA Y TECNOLOGÍA EDUCATIVA,Otros,Sin Partner (Propio),Presencial Regular,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2014-06,2014,N/A,O07010902,MAESTRIA EN EDUCACIÓN CON MENCIÓN EN INFORMÁTICA Y TECNOLOGÍA EDUCATIVA,Otros,Sin Partner (Propio),Presencial Regular,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2014-07,2014,N/A,O07010902,MAESTRIA EN EDUCACIÓN CON MENCIÓN EN INFORMÁTICA Y TECNOLOGÍA EDUCATIVA,Otros,Sin Partner (Propio),Presencial Regular,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2014-08,2014,Agosto,O07010902,MAESTRIA EN EDUCACIÓN CON MENCIÓN EN INFORMÁTICA Y TECNOLOGÍA EDUCATIVA,Otros,Sin Partner (Propio),Presencial Regular,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
2014-09,2014,Setiembre,O07010902,MAESTRIA EN EDUCACIÓN CON MENCIÓN EN INFORMÁTICA Y TECNOLOGÍA EDUCATIVA,Otros,Sin Partner (Propio),Presencial Regular,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,2,2
2014-10,2014,Octubre,O07010902,MAESTRIA EN EDUCACIÓN CON MENCIÓN EN INFORMÁTICA Y TECNOLOGÍA EDUCATIVA,Otros,Sin Partner (Propio),Presencial Regular,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,2,2,2
2014-11,2014,Noviembre,O07010902,MAESTRIA EN EDUCACIÓN CON MENCIÓN EN INFORMÁTICA Y TECNOLOGÍA EDUCATIVA,Otros,Sin Partner (Propio),Presencial Regular,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,1,1
