Periodo_Real,Año,Mes,Codigo_Plan_SAP,Programa,Facultad,Gestion,Modalidad_Agrupada,Egresados,Admitidos Matriculados,Nuevos Traslados,Nuevos Convalidados,Permanentes Continuos,Perm. Siempre (0m),Perm. 1mes,Permanentes Incontinuos,Reincorporados (6-12m),Reincorporados (>12m),Riesgo Deserción (1m),Riesgo Deserción (2m),Deserción Temprana (3-6m),Deserción Tardía (7-12m),Deserción Muy Tardía (>12m),Retenidos (1m),Matríc. regular a Distancia,Matríc. regular Presencial,Estudiantes matrí. TOTAL
2014-01,2014,Enero,E05010104,CARRERA DE CONTABILIDAD Y FINANZAS -  (A DISTANCIA AP),Contabilidad y Finanzas,Con Partner (AP),Distancia,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2014-02,2014,Febrero,E05010104,CARRERA DE CONTABILIDAD Y FINANZAS -  (A DISTANCIA AP),Contabilidad y Finanzas,Con Partner (AP),Distancia,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1
2014-03,2014,N/A,E05010104,CARRERA DE CONTABILIDAD Y FINANZAS -  (A DISTANCIA AP),Contabilidad y Finanzas,Con Partner (AP),Distancia,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2014-04,2014,N/A,E05010104,CARRERA DE CONTABILIDAD Y FINANZAS -  (A DISTANCIA AP),Contabilidad y Finanzas,Con Partner (AP),Distancia,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2014-05,2014,N/A,E05010104,CARRERA DE CONTABILIDAD Y FINANZAS -  (A DISTANCIA AP),Contabilidad y Finanzas,Con Partner (AP),Distancia,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2014-06,2014,N/A,E05010104,CARRERA DE CONTABILIDAD Y FINANZAS -  (A DISTANCIA AP),Contabilidad y Finanzas,Con Partner (AP),Distancia,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2014-07,2014,Julio,E05010104,CARRERA DE CONTABILIDAD Y FINANZAS -  (A DISTANCIA AP),Contabilidad y Finanzas,Con Partner (AP),Distancia,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
2014-08,2014,Agosto,E05010104,CARRERA DE CONTABILIDAD Y FINANZAS -  (A DISTANCIA AP),Contabilidad y Finanzas,Con Partner (AP),Distancia,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1
2014-09,2014,Setiembre,E05010104,CARRERA DE CONTABILIDAD Y FINANZAS -  (A DISTANCIA AP),Contabilidad y Finanzas,Con Partner (AP),Distancia,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1
2014-10,2014,Octubre,E05010104,CARRERA DE CONTABILIDAD Y FINANZAS -  (A DISTANCIA AP),Contabilidad y Finanzas,Con Partner (AP),Distancia,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1
