Codigo_Plan_SAP,Programa,Historico_Alumnos,Alumnos_Actuamente_Estudiando,Estado_Plan
E02010101,CARRERA DE ADMINISTRACION ,8,0,Cerrado/Sin Matrícula
E02010104,CARRERA PROFESIONAL DE ADMINISTRACION (A DISTANCIA),16,0,Cerrado/Sin Matrícula
E02020201,CARRERA DE ADMINISTRACION DE NEGOCIOS INTERNACIONALES ,4,0,Cerrado/Sin Matrícula
E02020204,CARRERA PROFESIONAL DE ADMINISTRACION Y NEGOCIOS INTERNACIONALES (A DISTANCIA),8,0,Cerrado/Sin Matrícula
E02050501,CARRERA DE GESTION DE RECURSOS HUMANOS ,3,0,Cerrado/Sin Matrícula
E02050503,CARRERA PROFESIONAL DE GESTION DE RECURSOS HUMANOS - (2DA ESPECIALIDAD),13,0,Cerrado/Sin Matrícula
E02050504,CARRERA PROFESIONAL DE GESTION DE RECURSOS HUMANOS (A DISTANCIA),4,0,Cerrado/Sin Matrícula
E02090901,CARRERA DE MARKETING ,1,0,Cerrado/Sin Matrícula
E02090904,CARRERA PROFESIONAL DE MARKETING (A DISTANCIA),2,0,Cerrado/Sin Matrícula
E05010101,CARRERA DE CONTABILIDAD Y FINANZAS,1403,0,Cerrado/Sin Matrícula
E05010103,CARRERA DE CONTABILIDAD Y FINANZAS -  (70/30 AP),130,0,Cerrado/Sin Matrícula
E05010104,CARRERA DE CONTABILIDAD Y FINANZAS -  (A DISTANCIA AP),234,2,Vigente
E05020201,CARRERA DE ECONOMIA,1059,0,Cerrado/Sin Matrícula
E05020203,CARRERA DE ECONOMIA - (70/30 AP),111,0,Cerrado/Sin Matrícula
E05020204,CARRERA DE ECONOMIA -  (A DISTANCIA AP),234,7,Vigente
E06010102,CARRERA DE DERECHO ,356,1,Vigente
E06010104,CARRERA DE DERECHO  (PAT A DISTANCIA),535,4,Vigente
E07010102,CARRERA DE EDUCACION - HISTORICO,91,0,Cerrado/Sin Matrícula
E07010102,CARRERA PROFESIONAL DE EDUCACION CON MENCION EN INICIAL,693,0,Cerrado/Sin Matrícula
E07010102,CARRERA PROFESIONAL DE EDUCACION CON MENCION EN INICIAL - (70/30 AP),1,0,Cerrado/Sin Matrícula
E07010102,CARRERA PROFESIONAL DE EDUCACION CON MENCION EN MATEMÁTICA E INFORMÁTICA,1,0,Cerrado/Sin Matrícula
E07010103,CARRERA DE EDUCACION - HISTORICO,1,0,Cerrado/Sin Matrícula
E07010103,CARRERA PROFESIONAL DE EDUCACION CON MENCION EN INICIAL,1,0,Cerrado/Sin Matrícula
E07010103,CARRERA PROFESIONAL DE EDUCACION CON MENCION EN PRIMARIA,354,0,Cerrado/Sin Matrícula
E07010104,CARRERA DE EDUCACION - HISTORICO,38,0,Cerrado/Sin Matrícula
E07010104,CARRERA PROFESIONAL DE EDUCACION CON MENCION EN INICIAL,1,0,Cerrado/Sin Matrícula
E07010104,CARRERA PROFESIONAL DE EDUCACION CON MENCION EN MATEMÁTICA E INFORMÁTICA,396,0,Cerrado/Sin Matrícula
E07010105,CARRERA DE EDUCACION - HISTORICO,2,0,Cerrado/Sin Matrícula
E07010105,CARRERA PROFESIONAL DE EDUCACION CON MENCION EN CIENCIAS SOCIALES Y COMUNICACIÓN,257,0,Cerrado/Sin Matrícula
E07010105,CARRERA PROFESIONAL DE EDUCACION CON MENCION EN MATEMÁTICA E INFORMÁTICA - (70/30 AP),1,0,Cerrado/Sin Matrícula
E07010106,CARRERA PROFESIONAL DE EDUCACION CON MENCION EN INICIAL - (70/30 AP),205,1,Vigente
E07010107,CARRERA PROFESIONAL DE EDUCACION CON MENCION EN INICIAL - (70/30 AP),2,0,Cerrado/Sin Matrícula
E07010107,CARRERA PROFESIONAL DE EDUCACION CON MENCION EN PRIMARIA - (70/30 AP),143,0,Cerrado/Sin Matrícula
E07010108,CARRERA PROFESIONAL DE EDUCACION CON MENCION EN MATEMÁTICA E INFORMÁTICA - (70/30 AP),94,0,Cerrado/Sin Matrícula
E07010109,CARRERA PROFESIONAL DE EDUCACION CON MENCION EN CIENCIAS SOCIALES Y COMUNICACIÓN - (70/30 AP),93,0,Cerrado/Sin Matrícula
E07010109,CARRERA PROFESIONAL DE EDUCACION CON MENCION EN INICIAL - (70/30 AP),5,0,Cerrado/Sin Matrícula
E07010110,CARRERA PROFESIONAL DE EDUCACION CON MENCION EN INICIAL - (A DISTANCIA AP),351,7,Vigente
E07010111,CARRERA PROFESIONAL DE EDUCACION CON MENCION EN PRIMARIA - (A DISTANCIA AP),345,9,Vigente
E07010112,CARRERA PROFESIONAL DE EDUCACION CON MENCION EN MATEMÁTICA E INFORMÁTICA - (A DISTANCIA AP),500,11,Vigente
E07010113,CARRERA PROFESIONAL DE EDUCACION CON MENCION EN CIENCIAS SOCIALES Y COMUNICACIÓN - (A DISTANCIA AP),399,6,Vigente
E10010101,CARRERA DE MEDICINA HUMANA,2,0,Cerrado/Sin Matrícula
